table_name,role,expected_row_count,actual_row_count,row_count_ok,expected_sha256,actual_sha256,sha256_ok,exists,status,message
doc_labels_gold.csv,response_labels,547,547,True,ac0935691515952075b455061cff9ef8a04f5b58ccdd127e9e5ca6e06c8f6b71,ac0935691515952075b455061cff9ef8a04f5b58ccdd127e9e5ca6e06c8f6b71,True,True,ok,Verified against frozen gold contract.
training_matrix_hydrocore.csv,main_training_matrix,547,547,True,0b4eaf0ebf716e23379f15d56cbff82c105251497346b29aa82c8adba95db8e1,0b4eaf0ebf716e23379f15d56cbff82c105251497346b29aa82c8adba95db8e1,True,True,ok,Verified against frozen gold contract.
training_matrix_basin_context.csv,basin_context_training_matrix,547,547,True,2dbcd48e094cade5ef0053f9400f8cc1615e64cd9a9a6c96c165782f92f10522,2dbcd48e094cade5ef0053f9400f8cc1615e64cd9a9a6c96c165782f92f10522,True,True,ok,Verified against frozen gold contract.
training_matrix_optical_matched_0d.csv,optical_sensitivity,188,188,True,630c57dddd749c9034db2bdfa40137a512392db926112111fd512803aac2a682,630c57dddd749c9034db2bdfa40137a512392db926112111fd512803aac2a682,True,True,ok,Verified against frozen gold contract.
training_matrix_optical_matched_1d.csv,optical_sensitivity,297,297,True,0ee52cd1851e69a537eb6afe2962260a46cd3ac9dbc2e301950f3ce18fa4518b,0ee52cd1851e69a537eb6afe2962260a46cd3ac9dbc2e301950f3ce18fa4518b,True,True,ok,Verified against frozen gold contract.
training_matrix_optical_matched_3d.csv,optical_sensitivity_main,374,374,True,b5413d3da3470e20255ff1dc851beeeb062b0c2a16acbc1d747a497f100e3fcc,b5413d3da3470e20255ff1dc851beeeb062b0c2a16acbc1d747a497f100e3fcc,True,True,ok,Verified against frozen gold contract.
training_matrix_optical_matched_3d_hls.csv,optical_sensitivity_sensor_specific,144,144,True,2f00be03cef96c468d934781d4404cd83c9022d2b4a3dd0eafa20cec831eb471,2f00be03cef96c468d934781d4404cd83c9022d2b4a3dd0eafa20cec831eb471,True,True,ok,Verified against frozen gold contract.
training_matrix_optical_matched_3d_landsat.csv,optical_sensitivity_sensor_specific,184,184,True,f5a7a3b0e9d3e0829730788c893a1be85d291c6a18cdb7e3d4dc3caff8fb9635,f5a7a3b0e9d3e0829730788c893a1be85d291c6a18cdb7e3d4dc3caff8fb9635,True,True,ok,Verified against frozen gold contract.
training_matrix_optical_matched_3d_sentinel2.csv,optical_sensitivity_sensor_specific,46,46,True,0d2fa15318d8eec6af2a96d5aa2ac7a01f47dcc89689356926b8ebf4a496bd12,0d2fa15318d8eec6af2a96d5aa2ac7a01f47dcc89689356926b8ebf4a496bd12,True,True,ok,Verified against frozen gold contract.
training_matrix_optical_matched_7d.csv,optical_sensitivity_wide_window,420,420,True,6110815762d71a0eb251413ed6625068c533776f82c058c366d9f6cf8b66d413,6110815762d71a0eb251413ed6625068c533776f82c058c366d9f6cf8b66d413,True,True,ok,Verified against frozen gold contract.
